country,expense,year,life,continent
Central African Republic,27.04578263,1996,46.3454878049,Africa
Chad,41.31232081,1996,47.4808292683,Africa
Chile,460.634068,1996,75.2416097561,South America
Colombia,513.70216407,1996,69.7483658537,South America
Comoros,45.52331497,1996,58.9471707317,Africa
Costa Rica,409.19949047,1996,76.741804878,North America
Croatia,628.11993976,1996,72.3653658537,Europe
Cuba,383.93249009,1996,75.6756341463,North America
Cyprus,822.71934658,1996,77.419097561,Asia
Czech Republic,915.39701048,1996,73.7146341463,Europe
Denmark,1980.20178517,1996,75.5914634146,Europe
Djibouti,64.88623977,1996,57.0384146341,Africa
Dominican Republic,245.21625241,1996,69.9163414634,North America
Ecuador,213.76240478,1996,71.6047317073,South America
El Salvador,325.70859649,1996,67.5648292683,North America
Equatorial Guinea,94.30473118,1996,50.7616341463,Africa
Eritrea,44.83989001,1996,53.2285365854,Africa
Estonia,453.3089541,1996,69.612195122,Europe
Ethiopia,13.58443697,1996,49.8099512195,Africa
Fiji,152.86477419,1996,66.8402439024,Oceania
Finland,1550.46608208,1996,76.6934146341,Europe
France,2162.51616018,1996,77.9536585366,Europe
Gabon,499.88667108,1996,60.592097561,Africa
Georgia,134.82326107,1996,70.4519512195,Asia
Germany,2407.36796411,1996,76.6731707317,Europe
Ghana,86.4727978,1996,57.3407804878,Africa
Greece,1303.37104317,1996,77.6853658537,Europe
Grenada,401.83461767,1996,69.4863170732,North America
Guatemala,161.81239488,1996,65.5272195122,North America
Guinea,24.55273331,1996,51.697804878,Africa
Guinea-Bissau,109.92577676,1996,50.7772439024,Africa
Guyana,179.05971116,1996,64.3794634146,South America
Haiti,60.57961728,1996,56.5949512195,North America
Honduras,124.68076507,1996,69.2615121951,North America
Hungary,657.39836598,1996,70.3287804878,Europe
Iceland,1973.44258315,1996,78.777804878,Europe
India,62.84073218,1996,60.9156097561,Asia
Indonesia,94.19598082,1996,65.3058292683,Asia
Israel,1524.60793553,1996,78.1048780488,Asia
Italy,1631.75766126,1996,78.5219512195,Europe
Jamaica,299.29538423,1996,71.968195122,North America
Japan,1567.22639237,1996,80.2002439024,Asia
Jordan,478.62199035,1996,71.0956829268,Asia
Kazakhstan,263.64003174,1996,64.1097560976,Asia
Kenya,68.76828068,1996,53.4,Africa
Kiribati,100.67305171,1996,62.8373170732,Oceania
Kuwait,2061.89390112,1996,72.9850731707,Asia
Latvia,250.08745953,1996,68.7765853659,Europe
Lebanon,1204.8678562,1996,72.5171707317,Asia
Lesotho,84.61935518,1996,55.1069268293,Africa
Libya,614.01966652,1996,70.1010243902,Africa
Lithuania,371.16640228,1996,70.1080487805,Europe
Luxembourg,2292.58526631,1996,76.5195121951,Europe
Madagascar,46.54555874,1996,55.427,Africa
Malawi,21.71362958,1996,43.5589512195,Africa
Malaysia,327.67737755,1996,72.0726097561,Asia
Maldives,178.04552106,1996,66.4037073171,Asia
Mali,65.1248839,1996,47.7974634146,Africa
Malta,927.4341317,1996,77.1414634146,Europe
Mauritania,80.97211814,1996,59.553097561,Africa
Mauritius,246.35639678,1996,70.3229268293,Africa
Mexico,362.17247049,1996,73.098902439,North America
Moldova,159.24304264,1996,66.629097561,Europe
Mongolia,113.39104842,1996,61.4480487805,Asia
Montenegro,421.63300087,1996,73.7787804878,Europe
Morocco,110.56103664,1996,67.149097561,Africa
Mozambique,15.46063499,1996,46.5634146341,Africa
Myanmar,13.95309963,1996,60.745902439,Asia
Namibia,255.21086353,1996,59.3363902439,Africa
Nepal,55.94968267,1996,59.2772926829,Asia
New Zealand,1269.29709026,1996,76.787804878,Oceania
Nicaragua,147.15551469,1996,67.818,North America
Niger,35.04809299,1996,47.8395853659,Africa
Nigeria,97.66675202,1996,46.1597804878,Africa
Norway,2044.5812193,1996,78.1504878049,Europe
Oman,1023.85171465,1996,70.4907560976,Asia
Pakistan,86.17119083,1996,61.7479512195,Asia
Panama,475.66356894,1996,74.3254146341,North America
Papua New Guinea,51.61264721,1996,57.6308536585,Oceania
Paraguay,290.52360263,1996,69.112804878,South America
Peru,208.69928621,1996,68.5237560976,South America
Philippines,107.73639667,1996,66.1977560976,Asia
Poland,473.48770333,1996,72.2463414634,Europe
Portugal,1095.49772341,1996,75.2609756098,Europe
Qatar,2182.17847498,1996,76.0024878049,Asia
Romania,193.60000509,1996,69.1048780488,Europe
Rwanda,23.98080951,1996,35.659195122,Africa
Samoa,121.64183678,1996,67.9542682927,Oceania
San Marino,2249.77197974,1996,79.1195121951,Europe
Saudi Arabia,775.54981581,1996,71.4432926829,Asia
Senegal,53.48333446,1996,57.3193414634,Africa
Sierra Leone,89.26476118,1996,35.9741463415,Africa
Singapore,1011.03424175,1996,76.5951219512,Asia
Slovenia,1055.90479887,1996,74.4585365854,Europe
Solomon Islands,50.58601744,1996,60.2965853659,Oceania
South Africa,591.54176853,1996,60.6054634146,Africa
Spain,1248.8621397,1996,78.1204878049,Europe
Sri Lanka,107.24935925,1996,69.3727317073,Asia
Sudan,73.73927468,1996,56.7859512195,Africa
Suriname,527.20537014,1996,67.8343414634,South America
Swaziland,205.59223558,1996,55.0045121951,Africa
Sweden,1859.55854074,1996,78.9590243902,Europe
Switzerland,2735.55510672,1996,78.896097561,Europe
Tajikistan,23.9747919,1996,62.563195122,Asia
Tanzania,35.69238349,1996,48.7481219512,Africa
Thailand,299.04386263,1996,70.2278780488,Asia
Togo,40.75617469,1996,54.3296097561,Africa
Tonga,133.24050646,1996,70.2385121951,Oceania
Trinidad and Tobago,511.60521483,1996,68.4308292683,North America
Tunisia,277.90520817,1996,71.5536585366,Africa
Turkey,224.5329305,1996,67.5862195122,Asia
Turkmenistan,112.60708814,1996,63.2098292683,Asia
Uganda,50.01981372,1996,43.9574146341,Africa
Ukraine,236.93228374,1996,66.887804878,Europe
United Arab Emirates,1978.87988105,1996,73.3839268293,Asia
United Kingdom,1435.6061148,1996,77.087804878,Europe
United States,3944.28122935,1996,76.0268292683,North America
Uruguay,959.15196384,1996,73.7698780488,South America
Uzbekistan,117.50561752,1996,66.4317804878,Asia
Vanuatu,47.65494004,1996,65.8994878049,Oceania
Vietnam,78.92756497,1996,72.1315609756,Asia
Zambia,92.8072993,1996,42.024804878,Africa
Albania,229.83007393,1997,72.898097561,Europe
Algeria,256.90335228,1997,68.9212195122,Africa
Angola,79.03869714,1997,43.0621219512,Africa
Antigua and Barbuda,638.55607768,1997,72.7575609756,North America
Argentina,751.22496329,1997,73.1080487805,South America
Armenia,106.16391355,1997,69.7164146341,Asia
Australia,1837.89598576,1997,78.4804878049,Oceania
Austria,2458.58249598,1997,77.3195121951,Europe
Azerbaijan,142.08662126,1997,65.4623902439,Asia
Bahrain,1655.63691853,1997,73.9916097561,Asia
Bangladesh,25.62927799,1997,63.3578780488,Asia
Barbados,518.45310976,1997,72.6842195122,North America
Belarus,303.81205231,1997,68.4609756098,Europe
Belgium,1853.35628508,1997,77.3707317073,Europe
Belize,180.26258469,1997,68.9018536585,North America
Benin,47.24747459,1997,54.8423170732,Africa
Bhutan,176.79833141,1997,58.0352439024,Asia
Bolivia,136.09102267,1997,58.9886097561,South America
Bosnia and Herzegovina,263.67121587,1997,72.8587317073,Europe
Botswana,333.00359499,1997,52.4746097561,Africa
Brazil,571.85805026,1997,68.6163902439,South America
Brunei Darussalam,2134.96019602,1997,74.6621707317,Asia
Bulgaria,255.61078251,1997,70.3512195122,Europe
Burkina Faso,37.57249975,1997,49.5883414634,Africa
Burundi,27.88372234,1997,50.1198536585,Africa
Cambodia,56.28157395,1997,56.1438536585,Asia
Cameroon,80.28199924,1997,52.726097561,Africa
Canada,2168.07655497,1997,78.4804878049,North America
Central African Republic,22.61076049,1997,45.8463658537,Africa
Chad,44.06419876,1997,47.5336097561,Africa
Chile,505.68122315,1997,75.6463658537,South America
Colombia,583.90457572,1997,70.075,South America
Comoros,47.00948373,1997,59.1355853659,Africa
Costa Rica,409.78553484,1997,76.9224146341,North America
Croatia,567.93810127,1997,72.4951219512,Europe
Cuba,418.10640936,1997,75.9419756098,North America
Cyprus,897.04865311,1997,77.5610243902,Asia
Czech Republic,920.1812777,1997,73.8248780488,Europe
Denmark,2061.4097017,1997,75.9451219512,Europe
Djibouti,72.3865676,1997,57.011195122,Africa
Dominica,339.72888738,1997,75.9512195122,North America
Dominican Republic,278.4125132,1997,70.0917317073,North America
Ecuador,220.81435893,1997,71.9643170732,South America
El Salvador,370.83099153,1997,67.8736341463,North America
Equatorial Guinea,166.19297165,1997,51.1395853659,Africa
Eritrea,56.19006703,1997,54.0096097561,Africa
Estonia,492.20213754,1997,69.8097560976,Europe
Ethiopia,15.16155002,1997,50.3180487805,Africa
Fiji,162.38529438,1997,67.0375609756,Oceania
Finland,1617.52676183,1997,76.8785365854,Europe
France,2227.025727,1997,78.3048780488,Europe
Gabon,463.77417405,1997,60.3030243902,Africa
Georgia,163.91877485,1997,70.7147317073,Asia
Germany,2418.55778462,1997,77.0731707317,Europe
Ghana,77.88653371,1997,57.1642439024,Africa
Greece,1356.8993837,1997,78.1365853659,Europe
Grenada,444.62222357,1997,69.6616341463,North America
Guatemala,174.98225011,1997,66.095902439,North America
Guinea,24.99208762,1997,51.6093414634,Africa
